NAME,Width,,P0,DM,S/N,Degradation Factor,S_peak
J1859+07,4.5,8.1,0.3031(2.2),9.2,1.5,0.020
J1905+0414,3.3,5.9,0.383(1),14.2,1.5,0.036
J1952+30,5.7,10.5,1.66560(12),188.8(6),10.4,2.5,0.033
